group_key,normalized_main_function,functional_ingredient_set,composition_type,item_count,manufacturer_count,statement_no_count,dosage_form_count,base_parseable,base_partial,base_unparseable,base_missing,representative_candidate_id,representative_product_name,representative_manufacturer,representative_statement_no,grouping_confidence,hold_count,hold_reason
칼슘과인이흡수되고이용되는데필요|뼈의형성과유지에필요|골다공증발생위험감소에도움을줌|비타민D+칼슘,칼슘과인이흡수되고이용되는데필요|뼈의형성과유지에필요|골다공증발생위험감소에도움을줌,비타민D+칼슘,MULTI_INGREDIENT,177,56,177,9,177,0,0,0,12af23bd-6609-41ab-a87d-2eec4db21ce0,비타D 400IU,풀무원건강생활(주),20040020001310,B,0,
정상적인면역기능에필요|정상적인세포분열에필요|아연,정상적인면역기능에필요|정상적인세포분열에필요,아연,MULTI_FUNCTION,170,67,170,9,170,0,0,0,f36ac329-8dff-4be9-8bb6-b0e5fab54c0a,가디언 하라,우리바이오(주),20190009483246,B,0,
결합조직형성과기능유지에필요|철의흡수에필요|항산화작용을하여유해산소로부터세포를보호하는데필요|비타민C,결합조직형성과기능유지에필요|철의흡수에필요|항산화작용을하여유해산소로부터세포를보호하는데필요,비타민C,MULTI_FUNCTION,170,65,170,6,170,0,0,0,7f880343-90fa-4ac5-9f38-c3ee1ff35d72,비타-씨정,(재)강릉과학산업진흥원,202300010421,B,0,
"근육,결합조직등신체조직의구성성분|효소,호르몬,항체의구성에필요|체내필수영양성분이나활성물질의운반과저장에필요|체액|(원료미검출)","근육,결합조직등신체조직의구성성분|효소,호르몬,항체의구성에필요|체내필수영양성분이나활성물질의운반과저장에필요|체액,산-염기의균형유지에필요|에너지,포도당,지질의합성에필요",(원료미검출),MULTI_FUNCTION,163,31,163,3,0,163,0,0,9959f85e-80f9-49fb-9b9e-50f0477b428b,가이스머슬게이너,진명뉴트리션,2013001800612,C,0,
[프로바이오틱스]유산균증식및유해균억제･배변활동원활･장건강에도움을줄수있음|프로바이오틱스,[프로바이오틱스]유산균증식및유해균억제･배변활동원활･장건강에도움을줄수있음,프로바이오틱스,SINGLE,134,37,134,5,134,0,0,0,6ad73104-916e-4218-8a91-3883ac6bd587,공스킨 유산균프로바이오틱스,주식회사한미양행,200400150832270,A,0,
관절및연골건강에도움을줄수있음|(원료미검출),관절및연골건강에도움을줄수있음,(원료미검출),UNKNOWN,134,56,134,5,0,134,0,0,b6a89a46-c2bb-4924-b9bd-44394fe9241e,공앤진 MSM,주식회사한미양행,200400150831696,C,0,
간건강에도움을줄수있음|밀크씨슬,간건강에도움을줄수있음,밀크씨슬,SINGLE,122,53,122,8,122,0,0,0,594fa471-1f14-4a5e-a58b-9dd40f39ec3d,가온비 헤파빔,(주)한국파비스알엔디,20040020040111,A,0,
결합조직형성과기능유지에필요|철의흡수에필요|유해산소로부터세포를보호하는데필요|비타민C,결합조직형성과기능유지에필요|철의흡수에필요|유해산소로부터세포를보호하는데필요,비타민C,MULTI_FUNCTION,107,38,107,5,107,0,0,0,30ec8688-5773-4e9e-9973-4844675a6832,광동비타500딸기맛,(주)서흥,20040020006595,B,0,
유산균증식및유해균억제·배변활동원활에도움을줄수있음|프로바이오틱스,유산균증식및유해균억제·배변활동원활에도움을줄수있음,프로바이오틱스,SINGLE,105,27,105,4,105,0,0,0,2ac54607-25e6-46c6-8c35-aad4c8a0193d,과일&채소 발효 포스트바이오틱스 유산균,(주)케비젠,2015001001885,A,0,
배변활동원활에도움을줄수있음|식이섬유,배변활동원활에도움을줄수있음,식이섬유,SINGLE,104,39,104,7,104,0,0,0,b54a6b7b-7572-4998-92ce-1aa273e4efc7,가뿐한 나,(주)서흥헬스케어,20130020024138,A,0,
탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음|(원료미검출),탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음,(원료미검출),UNKNOWN,97,49,97,7,0,97,0,0,31f70aba-f843-4253-b120-e70e352c5972,감사애 온 다이어트,(주)화인내츄럴,20040015094173,C,0,
"유산균증식및유해균억제,배변활동원활,장건강에도움을줄수있음.|프로바이오틱스","유산균증식및유해균억제,배변활동원활,장건강에도움을줄수있음.",프로바이오틱스,SINGLE,93,2,93,1,93,0,0,0,8a3a0ec8-6444-4832-a27a-84943545df17,락티스세미 MG4668,(주)메디오젠 제천공장,20040020029837,A,0,
혈중콜레스테롤개선·배변활동원활에도움을줄수있음|식이섬유,혈중콜레스테롤개선·배변활동원활에도움을줄수있음,식이섬유,SINGLE,91,36,91,3,91,0,0,0,da4d4d03-1f93-43be-b53b-0853c66d2f5f,젬무브생생화이버골드,(주)오투바이오,20130020008294,A,0,
(|결합조직형성과기능유지에필요(|철의흡수에필요(|항산화작용을하여유해산소로부터세포를보호하는데필요|비타민C,(|결합조직형성과기능유지에필요(|철의흡수에필요(|항산화작용을하여유해산소로부터세포를보호하는데필요,비타민C,SINGLE,86,42,86,4,86,0,0,0,9c97609a-d837-4ef2-a742-4de9ab5b86b2,meditree 리포좀 비타민 C,주식회사 네추럴웨이,20040015104435,A,0,
[홍삼제품]|면역력증진|피로개선|혈소판응집억제를통한혈액흐름|기억력개선|항산화에도움을줄수있음|홍삼/인삼,[홍삼제품]|면역력증진|피로개선|혈소판응집억제를통한혈액흐름|기억력개선|항산화에도움을줄수있음,홍삼/인삼,MULTI_FUNCTION,86,11,86,10,86,0,0,0,64d5e167-4f9b-473a-9cb9-09c3a706d6fb,홍삼정환골드,(주)한국인삼공사,20040020013226,B,0,
면역력증진에도움을줄수있음|피로개선에도움을줄수있음|혈소판응집억제를통한혈액흐름에도움을줄수있음|기억력개선에도움을줄|홍삼/인삼,면역력증진에도움을줄수있음|피로개선에도움을줄수있음|혈소판응집억제를통한혈액흐름에도움을줄수있음|기억력개선에도움을줄수있음|항산화에도움을줄수있음|갱년기여성의건강에도움을줄수있음,홍삼/인삼,MULTI_FUNCTION,80,19,80,3,80,0,0,0,fa815a68-6074-4d80-b54e-fa191b291c22,simplus 6년근 홍삼정,대동고려삼(주),20040020031548,B,0,
식후혈당상승억제에도움을줄수있음|(원료미검출),식후혈당상승억제에도움을줄수있음,(원료미검출),UNKNOWN,77,48,77,8,0,77,0,0,0bad228b-1550-47ab-a4d4-135336c22792,더좋은 혈당카페 블랙,우리바이오(주),20190009483606,C,0,
항산화작용을하여유해산소로부터세포를보호하는데필요|비타민E,항산화작용을하여유해산소로부터세포를보호하는데필요,비타민E,SINGLE,77,25,77,3,77,0,0,0,9e4474f0-2f81-4d8e-b4c9-f34e85fb3174,비타민E 4mg,코스맥스바이오(주),200400200023864,A,0,
[프로바이오틱스제품]|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음|프로바이오틱스,[프로바이오틱스제품]|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음,프로바이오틱스,MULTI_FUNCTION,75,7,75,2,75,0,0,0,a7692349-3393-461e-9340-c6134295e4ca,거메이징 4종 혼합유산균 (Gumazing 4 Probiotics Blend),일동바이오사이언스(주),20140017002637,B,0,
[비타민C]|결합조직형성과기능유지에필요|철의흡수에필요|유해산소로부터세포를보호하는데필요|비타민C,[비타민C]|결합조직형성과기능유지에필요|철의흡수에필요|유해산소로부터세포를보호하는데필요,비타민C,MULTI_FUNCTION,74,27,74,4,74,0,0,0,58ebf5da-036b-4e6a-86bd-09b43d17eca4,더블에이치,(주)유니쎌팜,20040020028208,B,0,
[가르시니아캄보지아추출물]탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음|가르시니아,[가르시니아캄보지아추출물]탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음,가르시니아,SINGLE,73,33,73,6,73,0,0,0,2c4aff2e-2dfb-42fc-944c-e1134c63012b,가나디 다이어트 구미,코스맥스엔비티(주),200700170353011,A,0,
구강에서의항균작용에도움을줄수있음|프로폴리스,구강에서의항균작용에도움을줄수있음,프로폴리스,SINGLE,71,20,71,4,71,0,0,0,82863cab-635b-42e0-8e03-7ccb3eec3556,weing(위잉) 프로폴리스 스프레이,유니크바이오텍(주),2015001201337,A,0,
[아연]|정상적인면역기능에필요|정상적인세포분열에필요|아연,[아연]|정상적인면역기능에필요|정상적인세포분열에필요,아연,MULTI_FUNCTION,71,30,71,8,71,0,0,0,8e96d537-b774-47db-9f1c-e3472e3b8848,더팜 아연 시럽,광동헬스바이오(주),2020001625265,B,0,
뼈와치아형성에필요|신경과근육기능유지에필요|정상적인혈액응고에필요|골다공증발생위험감소에도움을줌|칼슘,뼈와치아형성에필요|신경과근육기능유지에필요|정상적인혈액응고에필요|골다공증발생위험감소에도움을줌,칼슘,MULTI_FUNCTION,70,33,70,9,70,0,0,0,a171ef84-d602-4cd2-aebe-2c22818c6656,골키퍼,숭인내추럴팜(주),202300040002,B,0,
면역력증진･피로개선･혈소판응집억제를통한혈액흐름･기억력개선･항산화에도움을줄수있음|홍삼/인삼,면역력증진･피로개선･혈소판응집억제를통한혈액흐름･기억력개선･항산화에도움을줄수있음,홍삼/인삼,SINGLE,67,37,67,8,67,0,0,0,1dcab6b0-aa5f-4602-abb0-fed978a6259b,고려홍삼성분캅셀골드 HMYH,주식회사한미양행,200400150831693,A,0,
*프로바이오틱스|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음|프로바이오틱스,*프로바이오틱스|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음,프로바이오틱스,MULTI_FUNCTION,66,1,66,4,66,0,0,0,5373e4d2-39af-44a8-b845-c249fdf15d0a,simplus 프로바이오틱스,엠에스바이오텍(주),200400200201506,B,0,
면역력증진·피로개선에도움을줄수있음|홍삼/인삼,면역력증진·피로개선에도움을줄수있음,홍삼/인삼,SINGLE,62,19,62,8,62,0,0,0,7ce01292-949e-472c-8089-79b60b948738,고려인삼분말,(주)고려원인삼,2004001702237,A,0,
항산화·체지방감소·혈중콜레스테롤개선에도움을줄수있음|(원료미검출),항산화·체지방감소·혈중콜레스테롤개선에도움을줄수있음,(원료미검출),UNKNOWN,60,36,60,8,0,60,0,0,a98e7910-4ae0-4991-9954-cdbc78506b41,e미라클 카테킨,(주)하티,201100150718,C,0,
*아연|정상적인면역기능에필요|정상적인세포분열에필요*프로바이오틱스|유산균증식및유해균억제에도움을줄수있음|배변활동|아연+프로바이오틱스,*아연|정상적인면역기능에필요|정상적인세포분열에필요*프로바이오틱스|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음,아연+프로바이오틱스,MULTI_INGREDIENT,60,1,60,4,60,0,0,0,8d899b4b-9077-4b42-ad1e-98cf5efc4484,안국건강 100억 유산균 미니,엠에스바이오텍(주),200400200201536,B,0,
탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줌|(원료미검출),탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줌,(원료미검출),UNKNOWN,60,27,60,8,0,60,0,0,7d0a8345-3177-426f-9b59-f0976b71cd13,굶지마,(주)아오스,2014002001218,C,0,
[칼슘]|뼈와치아형성에필요|신경과근육기능유지에필요|정상적인혈액응고에필요|골다공증발생위험감소에도움을줌[마그네슘|마그네슘+비타민D+칼슘,[칼슘]|뼈와치아형성에필요|신경과근육기능유지에필요|정상적인혈액응고에필요|골다공증발생위험감소에도움을줌[마그네슘]|에너지이용에필요|신경과근육기능유지에필요[비타민D]|칼슘과인이흡수되고이용되는데필요|뼈의형성과유지에필요|골다공증발생위험감소에도움을줌,마그네슘+비타민D+칼슘,MULTI_INGREDIENT,59,24,59,6,59,0,0,0,f39cd490-a78d-4142-aa13-cefd7788f9f4,구연산 칼슘+마그네슘&D,주식회사 노바렉스,200400200082753,B,0,
항산화·구강에서의항균작용에도움을줄수있음|프로폴리스,항산화·구강에서의항균작용에도움을줄수있음,프로폴리스,SINGLE,59,15,59,5,59,0,0,0,cf3d58ff-29a2-414a-ba6b-1d38340c22cb,노봉방수용성프로폴리스,서울프로폴리스(주),201000200607,A,0,
에너지이용에필요|신경과근육기능유지에필요|마그네슘,에너지이용에필요|신경과근육기능유지에필요,마그네슘,MULTI_FUNCTION,58,30,58,8,58,0,0,0,4fc2c7c7-dd14-4dfb-839d-cc5b608283ff,구스 엠플러스골드,(주)두루원,20040020010342,B,0,
[비타민E]항산화작용을하여유해산소로부터세포를보호하는데필요|비타민E,[비타민E]항산화작용을하여유해산소로부터세포를보호하는데필요,비타민E,SINGLE,58,18,58,4,58,0,0,0,c37cbd9d-446f-408e-a8fd-77b40c9d4721,골든 에센셜,(주)한국씨엔에스팜,200400200072579,A,0,
[프로바이오틱스]|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음|프로바이오틱스,[프로바이오틱스]|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음,프로바이오틱스,MULTI_FUNCTION,57,5,57,3,57,0,0,0,36a10a16-3768-4412-86d7-5724241bee75,活性益生菌粉(활성유산균분말),코스맥스엔비티(주),200700170351693,B,0,
[홍삼제품]|면역력증진|피로개선|혈소판응집억제를통한혈액흐름에도움|기억력개선|항산화에도움을줄수있음|홍삼/인삼,[홍삼제품]|면역력증진|피로개선|혈소판응집억제를통한혈액흐름에도움|기억력개선|항산화에도움을줄수있음,홍삼/인삼,MULTI_FUNCTION,57,8,57,6,57,0,0,0,847549a7-e9f9-4ac9-91e6-d23bfceb70f8,고려홍삼원기정,한국생약영농조합법인,2004002005931,B,0,
근력운동시에운동수행능력향상에도움을줄수있음|(원료미검출),근력운동시에운동수행능력향상에도움을줄수있음,(원료미검출),UNKNOWN,57,22,57,4,0,57,0,0,256002fe-dc3c-414e-ab7b-b23a5366c44f,게이너마트 크레아틴,한국네츄럴팜,20110018024133,C,0,
[프로바이오틱스제품]|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|프로바이오틱스,[프로바이오틱스제품]|유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음,프로바이오틱스,MULTI_FUNCTION,57,21,57,5,57,0,0,0,74c427aa-37be-49b7-ae8d-192b3a4bed8a,아이락비,주식회사 아리너스,2011002009957,B,0,
[칼슘]|뼈와치아형성에필요|신경과근육기능유지에필요|정상적인혈액응고에필요|골다공증발생위험감소에도움을줌|칼슘,[칼슘]|뼈와치아형성에필요|신경과근육기능유지에필요|정상적인혈액응고에필요|골다공증발생위험감소에도움을줌,칼슘,MULTI_FUNCTION,55,27,55,7,55,0,0,0,757c01ac-6da1-4a76-979e-a95dd49a4327,더본 칼슘,코스맥스엔비티(주),200700170352172,B,0,
"[단백질]|근육,결합조직등신체조직의구성성분|효소,호르몬,항체의구성에필요|체내필수영양성분이나활성물질의운반과저장|(원료미검출)","[단백질]|근육,결합조직등신체조직의구성성분|효소,호르몬,항체의구성에필요|체내필수영양성분이나활성물질의운반과저장에필요|체액,산-염기의균형유지에필요|에너지,포도당,지질의합성에필요",(원료미검출),MULTI_FUNCTION,55,17,55,3,0,55,0,0,edf37e05-2fdf-4986-a6e1-d513e8b8cbe7,가이스머슬 게이너,(주)유유헬스케어,20040015107589,C,0,
[EPA및DHA함유유지]혈중중성지질개선·혈행개선·기억력개선·건조한눈을개선하여눈건강에도움을줄수있음[비타민E]항|비타민E+오메가3,[EPA및DHA함유유지]혈중중성지질개선·혈행개선·기억력개선·건조한눈을개선하여눈건강에도움을줄수있음[비타민E]항산화작용을하여유해산소로부터세포를보호하는데필요,비타민E+오메가3,MULTI_INGREDIENT,54,8,54,1,54,0,0,0,fecdd304-05e0-4210-a390-8dc4615bd240,rTG 오메가3 1000,주식회사 노바렉스2공장,200600200081217,B,0,
면역력증진|피로개선|혈소판응집억제를통한혈액흐름|기억력개선|항산화에도움을줄수있음|홍삼/인삼,면역력증진|피로개선|혈소판응집억제를통한혈액흐름|기억력개선|항산화에도움을줄수있음,홍삼/인삼,MULTI_FUNCTION,54,14,54,7,54,0,0,0,889afa0c-dc47-44c3-8b46-4d2bbb48e773,홍삼정 데일리수,(주)동원에프앤비,2010002005643,B,0,
스트레스로인한긴장완화에도움을줄수있음|테아닌/스트레스,스트레스로인한긴장완화에도움을줄수있음,테아닌/스트레스,SINGLE,53,35,53,9,53,0,0,0,6cf31560-3a0d-4917-83fd-0561bc4c36b7,가라!! 스트레스 1355,(주)비트로시스농업회사법인,2006001800229,A,0,
[EPA및DHA함유유지]혈중중성지질개선·혈행개선·건조한눈을개선하여눈건강에도움을줄수있음[비타민E]항산화작용을하|비타민E+오메가3,[EPA및DHA함유유지]혈중중성지질개선·혈행개선·건조한눈을개선하여눈건강에도움을줄수있음[비타민E]항산화작용을하여유해산소로부터세포를보호하는데필요,비타민E+오메가3,MULTI_INGREDIENT,52,11,52,1,52,0,0,0,f7f469cc-59ac-4d01-a751-ff861e0959ad,rTG 오메가3 HMYH,주식회사한미양행,200400150831389,B,0,
[가르시니아캄보지아추출물]|탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줌|가르시니아,[가르시니아캄보지아추출물]|탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줌,가르시니아,SINGLE,52,20,52,9,52,0,0,0,858a8bd1-470e-4447-9d12-a1da4a89e927,가르시니아 다이어트,한국네츄럴팜,2011001802434,A,0,
"지방,탄수화물,단백질대사와에너지생성에필요|비타민B군","지방,탄수화물,단백질대사와에너지생성에필요",비타민B군,SINGLE,52,22,52,5,52,0,0,0,6e6bf3c4-89a5-4cd0-8bdb-e5c0a7498ccb,리피그노 프로,(주)뉴트롬,2015001000235,A,0,
어두운곳에서시각적응을위해필요|피부와점막을형성하고기능을유지하는데필요|상피세포의성장과발달에필요|비타민A,어두운곳에서시각적응을위해필요|피부와점막을형성하고기능을유지하는데필요|상피세포의성장과발달에필요,비타민A,MULTI_FUNCTION,49,22,49,5,49,0,0,0,81ceabe7-09da-40d3-bc2a-73c2b0aac94c,구스 아이라이트,주식회사 노바렉스,20040020008489,B,0,
탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음|가르시니아,탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음,가르시니아,SINGLE,47,31,47,8,47,0,0,0,25c506da-f09a-4037-b143-84c5b48095a8,가능해 다이어트 가르시니아카페,(주)빈스힐,2015000609216,A,0,
탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줌|가르시니아,탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줌,가르시니아,SINGLE,47,21,47,7,47,0,0,0,7a7894ec-9857-49b5-baaa-28ad5a70b1d3,가르시니아,주식회사한미양행,200400150831022,A,0,
[비타민D]칼슘과인이흡수되고이용되는데필요/뼈의형성과유지에필요/골다공증발생위험감소에도움을줌|비타민D+칼슘,[비타민D]칼슘과인이흡수되고이용되는데필요/뼈의형성과유지에필요/골다공증발생위험감소에도움을줌,비타민D+칼슘,MULTI_INGREDIENT,47,2,47,3,47,0,0,0,3940a47b-3018-4008-8a84-8cc204e20d86,비타도스D,(주)한풍네이처팜,201200190071117,B,0,
[프로바이오틱스]유산균증식및유해균억제·배변활동원활·장건강에도움을줄수있음|프로바이오틱스,[프로바이오틱스]유산균증식및유해균억제·배변활동원활·장건강에도움을줄수있음,프로바이오틱스,SINGLE,47,17,47,4,47,0,0,0,cb72bcae-6bba-477f-ad0c-e9a3242b8303,더팜 이지바울 마스터,코스맥스엔비티(주),200700170351724,A,0,
체지방감소에도움을줄수있음|(원료미검출),체지방감소에도움을줄수있음,(원료미검출),UNKNOWN,47,16,47,6,0,47,0,0,5fd5d1ec-a386-492d-ad0f-481cd22b81d4,점프스타트,(주)서흥,200400200061280,C,0,
면역력증진·피로개선·혈소판응집억제를통한혈액흐름·기억력개선·항산화에도움을줄수있음.|홍삼/인삼,면역력증진·피로개선·혈소판응집억제를통한혈액흐름·기억력개선·항산화에도움을줄수있음.,홍삼/인삼,SINGLE,46,13,46,5,46,0,0,0,e4506abd-fb10-46e8-aecf-eadb93694c5c,홍삼의전설,코스맥스바이오(주),200400200022687,A,0,
[마그네슘]|에너지이용에필요|신경과근육기능유지에필요|마그네슘,[마그네슘]|에너지이용에필요|신경과근육기능유지에필요,마그네슘,MULTI_FUNCTION,46,21,46,6,46,0,0,0,05cd1642-09e8-4b0a-8a39-7762b5d9dbd2,마그네슘,(주)생명과학,2004002003893,B,0,
유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음|프로바이오틱스,유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|장건강에도움을줄수있음,프로바이오틱스,MULTI_FUNCTION,46,12,46,3,46,0,0,0,d5ae7615-c490-45ee-915b-80da4567268d,알쓰리 프로바이오틱스 ,주식회사 노바렉스,200400200081805,B,0,
[가르시니아캄보지아추출물]|탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음|가르시니아,[가르시니아캄보지아추출물]|탄수화물이지방으로합성되는것을억제하여체지방감소에도움을줄수있음,가르시니아,SINGLE,45,12,45,5,45,0,0,0,dc3ddd57-5a11-4301-be4b-60da5f488f32,가르시니아,(주)알피바이오,20040017006930,A,0,
혈중중성지질개선·혈행개선·건조한눈을개선하여눈건강에도움을줄수있음|오메가3,혈중중성지질개선·혈행개선·건조한눈을개선하여눈건강에도움을줄수있음,오메가3,SINGLE,44,16,44,3,44,0,0,0,54a328ae-eeb1-4eb2-96ae-1d49cf7e06d8,rTG알티지오메가3,우리바이오(주),2019000948392,A,0,
면역력증진･피로개선에도움을줄수있음|홍삼/인삼,면역력증진･피로개선에도움을줄수있음,홍삼/인삼,SINGLE,42,16,42,6,42,0,0,0,612cd154-57cf-4f43-bde6-bc84637e9d00,진생브이GOLD캅셀인삼성분,(주)정원,2004002003761,A,0,
[프로바이오틱스]유산균증식및유해균억제․배변활동원활·장건강에도움을줄수있음|프로바이오틱스,[프로바이오틱스]유산균증식및유해균억제․배변활동원활·장건강에도움을줄수있음,프로바이오틱스,SINGLE,41,7,41,5,41,0,0,0,bed1ab4e-a2c6-4dcd-aaf2-317d6f61a67b,안심생균 프로바이오틱스,코스맥스엔비티(주),200700170351553,A,0,
유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|정상적인면역기능에필요|정상적인세포분열에필요|아연+프로바이오틱스,유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|정상적인면역기능에필요|정상적인세포분열에필요,아연+프로바이오틱스,MULTI_INGREDIENT,41,12,41,5,41,0,0,0,d2ca20fa-de9b-4586-892a-c3d5dc629c1f,경남제약 락토生(생) 腸守(장수) 유산균,(주)세종바이오팜,2019000910543,B,0,
[인삼제품]|면역력증진에도움을줄수있음|피로개선에도움을줄수있음|홍삼/인삼,[인삼제품]|면역력증진에도움을줄수있음|피로개선에도움을줄수있음,홍삼/인삼,MULTI_FUNCTION,40,12,40,7,40,0,0,0,85ba2d01-930e-4566-be39-af3e55a8f534,Zengo,케이지랩 주식회사,2004001703853,B,0,
면역력증진|피로회복|홍삼/인삼,면역력증진|피로회복,홍삼/인삼,MULTI_FUNCTION,40,12,40,7,40,0,0,0,c625052f-daf5-4fb9-82e1-c77214021786,진보고려인삼캅셀,(주)건보,200400190029,B,0,
