id,feature_unit,area,classification,priority,runtime_consumer,frontend_consumer,prod_evidence,replacement,blocked_by,proposed_wo
F25,custom_post_types/pages/views/role_permissions/forum_bookmark/kpa_stewards tables (0 rows no entity no ref),DB,DEAD_SCHEMA_RESIDUE,P3,0,0,0 rows,—,none,WO-F
F26,product_*_cleanup/snapshot audit ledgers (product_candidate_cleanup_* / product_master_cleanup_audits / product_master_legacy_internal_code_snapshots),DB,OPERATIONAL_RECOVERY_KEEP,—,raw SQL refs,0,"3624 / 15776 / 57864 / 17171 rows",—,—,—
F27,store_qr_codes.type dead column,DB,COMPAT_SCHEMA → DROP_CANDIDATE,P3,0 (canonical = landing_type),0,"92 rows; 2 rows diverge from landing_type",landing_type,none,WO-F
F28,signage_forced_content(+positions) + forced-content.controller,api-server routes/signage + DB,LEGACY_INTERMEDIATE,P2,controller mounted,unknown (admin UI removed?),"0 rows both",HUB curation / campaign push?,business decision,WO-I
F29,signage_playback_logs (migration 2026-09-10),DB,CANONICAL_SUPPORTING (new),—,player telemetry,signage-player-web,0 rows (just created),—,—,—
F30,apps/forum-api (standalone forum API server 2025-12),apps/forum-api,DEAD_PACKAGE,P2,not deployed; not in CI,0,—,api-server /api/v1/forum,none,WO-D
F31,apps/forum-web (23 files),apps/forum-web,DEAD_PACKAGE,P2,not deployed,0,—,service forum pages via forum-core,none,WO-D
F32,apps/page-generator (44 files),apps/page-generator,UNKNOWN_STOP,P2,not deployed; not in CI,0,—,?,business decision (AI page generator),WO-D
F33,services/web-account (Account Center; baseline O4O-MYPAGE-CANONICAL-V1),services/web-account,NEEDS_BUSINESS_DECISION,P2,type-checked; Dockerfile; NOT deployed; no Cloud Run service,—,"no account-web Cloud Run service",—,decision: deploy or retire baseline,WO-D
F34,apps/mobile-app (1 file: android/.gitignore),apps/mobile-app,DEAD_GENERATED_ARTIFACT,P3,0,0,—,services/mobile-app,none,WO-D
F35,Zero-dependent packages: @o4o/api-types / financial-core / forum-cosmetics / organization-lms / auth-core(frozen),packages,DEAD_PACKAGE (auth-core: UNKNOWN_STOP frozen §3),P2,0 imports,0,—,—,auth-core freeze policy,WO-D
F36,glucoseview-web Cloud Run service with no repo source (last deploy 2026-04-14),infra,OPERATIONAL residue (out of repo),P3,serving,—,revision 00183,—,infra decision,WO-J
F37,Duplicated auth pages across services (ResetPassword ×5 / AccountRecovery ×3 / VerifyEmail ×3 / Login ×3 / Handoff ×3) with no common core,services/*/pages,LEGACY_DUPLICATE (in-flight),P1,yes,yes,—,@o4o/auth-react (worktree o4o-auth-commonize · main 미병합),auth commonization merge,— (existing track)
F38,KPA SignagePlaybackPage 533 lines w/o common core (KCos 39* / PH 70*),web-kpa-society,LEGACY_DUPLICATE,P1,yes,yes,—,common signage playback view,none,WO-K
F39,InstructorDashboardPage divergent copies (564/121/277),services,LEGACY_DUPLICATE,P2,yes,yes,—,lms-ui,LMS track,WO-K
F40,Fat adapters over common Views (SupplierProductsPage 1746 / StoreCockpitPage 677 / KpaEventOfferPage 547 / StoreHomePage 392 / ContentListPage 762),services,CANONICAL_NEEDS_ALIGNMENT,P2,yes,yes,—,thin adapter,none,WO-K
F41,Legacy bare roles ('pharmacy'/'customer' etc.) in types/roles.ts,apps/api-server types,LEGACY_COMPATIBILITY,P3,role checks,—,—,prefixed roles (F9/F11 freeze),role migration log,—
F42,Backend mounts with 0 frontend literal callers (19),apps/api-server register-routes,UNKNOWN (needs runtime log),P2,unknown,0 literal,—,—,request-log census,WO-G
F43,1세대 tablet view (store-ui-core tablet/) + StoreQrConsoleView (KCos only),packages/store-ui-core,LEGACY_ACTIVE,P1,KCos,KCos,—,2세대 TabletCornerBoard / StoreQrOperationBoard,KCos adoption WO,WO-K
F44,Store execution management home (StoreExecutionPage KPA/PH) — implemented after DESIGN,services,CANONICAL_ACTIVE,—,yes,yes,—,—,—,—
F45,cosmetics-store-playlist / kpa store-playlist entities (store_playlists 11 rows),api-server,CANONICAL_ACTIVE (KEEP-LEGACY per baseline),—,yes,yes,11 rows,—,—,—
